symbol,direction,entry_time,entry_price,entry_candle,entry_htf,exit_time,exit_price,exit_candle,exit_htf
BTCUSDT,LONG,2026-01-04 11:39:00,91699.99,9,1,2026-01-04 11:40:00,91695.6,10,1
BTCUSDT,LONG,2026-01-04 11:41:00,91704.0,11,2,2026-01-04 11:42:00,91695.58,12,2
BTCUSDT,LONG,2026-01-04 11:52:00,91693.82,22,4,2026-01-04 11:54:00,91674.17,24,4
BTCUSDT,LONG,2026-01-04 12:34:00,91300.0,64,12,2026-01-04 12:35:00,91277.11,65,12
BTCUSDT,LONG,2026-01-04 12:36:00,91311.78,66,13,2026-01-04 12:39:00,91345.32,69,13
BTCUSDT,LONG,2026-01-04 12:41:00,91378.86,71,14,2026-01-04 12:42:00,91362.51,72,14
